coordinates,color_r,color_g,color_b,color_a
"[(104.90828804935751, 26.74788852705285), (92.02338616135756, 40.92128060385289), (76.74913679103878, 31.989034721588723), (86.64349992703876, 14.05409015429268)]",0.0,0.0,0.0,0.0
"[(85.44090908415876, 12.507901927732632), (74.84351697735758, 31.042855823052832), (60.67012490055765, 24.063533967052877), (70.2367248563188, 6.323149021492554)]",0.0,0.0,0.0,0.0
"[(68.34693924607882, 5.206457524532652), (59.50275945923369, 22.911346087270886), (44.212675885473914, 16.468895143271084), (48.45899600711766, 1.2585998025729168)]",0.0,0.0,0.0,0.0
"[(46.875555608993864, 0.6634154939913515), (42.23699092931395, 16.03939841367105), (24.799423707554297, 13.204719998311134), (27.404975725159204, -0.684302305750748)]",0.0,0.0,0.0,0.0
"[(25.257492077159213, -1.2211732177507884), (23.646879341159263, 12.60325276624917), (6.064356973159306, 13.408559134249117), (7.13809879715933, -2.2949150417507553)]",0.0,0.0,0.0,0.0
"[(145.2078948845574, 70.94295520225273), (137.6917021165574, 57.521182402252634), (115.6799947245575, 68.12438291425269), (117.29060746055745, 73.49309203425264)]",0.0,0.0,0.0,0.0
"[(288.98137095884806, 13.733466345410875), (304.09965584076804, 13.623515182633241), (305.36409421271037, -2.3194034201187606), (287.9368349124609, -2.4293545828962806)]",0.0,0.0,0.0,0.0
"[(292.34110912614403, 32.5138550922652), (302.39133259878395, 32.771553130025154), (304.79651428454395, 15.677583291945211), (290.021826786304, 15.41988525418526)]",0.0,0.0,0.0,0.0
"[(294.3329002096641, 51.5767990001051), (302.0638413424641, 51.5767990001051), (304.21132499046416, 34.91232589162519), (293.47390675046415, 34.56872850794525)]",0.0,0.0,0.0,0.0
"[(285.66911404953487, 133.369182565929), (299.16132862873394, 124.69078420432902), (288.28039965593416, 114.78809799632904), (278.28713900953494, 125.45033661392904)]",0.0,0.0,0.0,0.0
"[(245.39492446863926, 249.2748685366754), (228.00889685443155, 239.9290197005795), (235.0870029582394, 229.4836592367077), (249.6555320262712, 243.57115196758753)]",0.0,0.0,0.0,0.0
"[(250.5488852238392, 241.71572609571547), (236.22150631716465, 228.39809795586143), (252.08842447813163, 215.797546709299), (260.3081917710391, 232.1563368543716)]",0.0,0.0,0.0,0.0
"[(261.2983928652849, 230.3756614619889), (253.29880514396723, 214.70158976342793), (273.09001444393493, 207.21116679920397), (277.7449203740822, 223.4185696075092)]",0.0,0.0,0.0,0.0
"[(279.4122063036468, 222.74176854153973), (274.739281885599, 206.79884993878795), (295.12695476879867, 204.44628160240404), (295.60988729166115, 221.22644192928715)]",0.0,0.0,0.0,0.0
"[(261.19042167439886, 260.8559794148831), (246.7593315598391, 249.94676248304324), (257.38613912410733, 237.64781139491163), (267.89057065615873, 252.18014547696316)]",0.0,0.0,0.0,0.0
"[(268.7495641153587, 250.7198565963232), (259.1167926904385, 237.22914171035427), (277.6830960910386, 225.37954954992358), (281.46860065880276, 244.41689837973934)]",0.0,0.0,0.0,0.0
"[(283.0607600965087, 243.76435869749525), (279.37423946383853, 224.57961189104356), (299.30288771727817, 222.26032955120354), (299.5577682197603, 241.34933850915615)]",0.0,0.0,0.0,0.0
"[(226.6345073197116, 239.5167028401636), (208.28640703119981, 232.0949993526757), (213.02805092598373, 223.57378423741181), (229.10840848220755, 235.46225371273965)]",0.0,0.0,0.0,0.0
"[(229.8643227263035, 233.46938888739567), (213.71524569334372, 222.47427260963582), (227.52786051727958, 207.42470720445203), (239.8973663297594, 222.0619557492198)]",0.0,0.0,0.0,0.0
"[(241.5368489020525, 220.80161745350028), (228.97363710607954, 206.11511127792392), (247.27019778703925, 194.17510219504425), (254.0260404971707, 212.32624609805066)]",0.0,0.0,0.0,0.0
"[(255.60243434127915, 211.0113739953639), (248.98818470543915, 193.91740415728418), (267.1988460404789, 187.38905386736428), (272.73461659710995, 205.59020532912587)]",0.0,0.0,0.0,0.0
"[(274.60184293212694, 205.56189935754003), (269.5284272516991, 188.15329730056953), (286.9535887795205, 185.01034258843765), (289.2728711193604, 202.7915071938769)]",0.0,0.0,0.0,0.0
"[(273.1398259982386, 274.9474986776029), (262.23060906639876, 261.7189994059231), (275.4591083380785, 248.91999686384327), (286.04794266211695, 262.4912141077946)]",0.0,0.0,0.0,0.0
"[(207.08247401103984, 232.04023851965167), (182.92328297104018, 225.70516175805176), (188.5067404558401, 216.36360788925185), (208.37151533037667, 227.6944643563295)]",0.0,0.0,0.0,0.0
"[(209.44470602383979, 226.3494068524518), (189.58048227984006, 214.86036933565197), (204.72024199823983, 199.7206096172522), (219.12447845383952, 213.26760461233482)]",0.0,0.0,0.0,0.0
"[(220.07475008143967, 212.3907631404519), (205.68660963983984, 198.5394936108521), (222.54435627663963, 185.8693400876523), (233.61762163755043, 200.1402339272929)]",0.0,0.0,0.0,0.0
"[(234.3707067654675, 198.9324281150732), (224.26234319503953, 185.11772081085235), (242.62332838543932, 175.56141857725243), (248.85103096463922, 191.9896684844523)]",0.0,0.0,0.0,0.0
