polygon_id,box_name,coordinates,color_r,color_g,color_b,color_a,area
78,A1,"[[249.35486288384027, 19.499951987199893], [246.19132286479064, 1.6002513670688312], [264.49462260224027, 0.8168442495998534], [267.7158480742403, 15.097610508799846], [249.35486288384027, 19.499951987199893]]",0.0,0.0,0.0,0.0,303.2458988637966
79,A1,"[[269.5412091750403, 15.204984691199854], [266.59241752078947, 2.137122279068801], [286.8861379943884, 1.4928771846688371], [287.04320090624026, 13.486997772799896], [269.5412091750403, 15.204984691199854]]",0.0,0.0,0.0,0.0,238.64306146065422
80,A1,"[[74.47263937987344, 88.16932140374979], [61.41593880003364, 96.24385992022962], [54.25547512888403, 87.05764195084265], [64.60277012412695, 75.39846933535961], [74.47263937987344, 88.16932140374979]]",0.0,0.0,0.0,0.0,212.48871011661038
81,A1,"[[63.24376038728087, 73.25967494183357], [52.773717089216404, 86.7802486385504], [40.77290617965849, 77.05539638912694], [45.903544488247974, 63.4336028833261], [63.24376038728087, 73.25967494183357]]",0.0,0.0,0.0,0.0,275.34816724537717
82,A1,"[[44.949918856763674, 61.302618748159766], [37.21895280577155, 77.71157555181799], [23.111719664034297, 72.66350904663011], [25.53666667884479, 55.03196649600012], [44.949918856763674, 61.302618748159766]]",0.0,0.0,0.0,0.0,314.00149564876824
83,A1,"[[23.47508237676491, 54.51657042048015], [21.58857344676693, 71.96051429192312], [1.0553530916461944, 71.1810435289592], [1.3989504753261746, 52.970382193920244], [23.47508237676491, 54.51657042048015]]",0.0,0.0,0.0,0.0,381.1015249018866
84,A1,"[[94.65898567107308, 78.72039335254993], [76.44832433603341, 87.56802598230979], [69.49047731651353, 77.43190316374995], [83.19487262655338, 65.16154787262968], [94.65898567107308, 78.72039335254993]]",0.0,0.0,0.0,0.0,286.3152463901699
85,A1,"[[82.03178182083332, 63.85980650839019], [68.03018843587353, 76.40111101270998], [58.95987055439872, 65.00517883814973], [68.63148385731353, 49.686414431590435], [82.03178182083332, 63.85980650839019]]",0.0,0.0,0.0,0.0,307.8352009457926
86,A1,"[[66.27614098883356, 49.04118891863055], [55.670280671208445, 65.06792467363209], [42.18617247041516, 58.054606460979414], [48.34465252803386, 39.27013832023067], [66.27614098883356, 49.04118891863055]]",0.0,0.0,0.0,0.0,343.74840315636925
87,A1,"[[46.41191724483389, 39.27013832023067], [39.62415940972398, 57.694846219519974], [22.8423379235536, 52.95923013801695], [26.356617582527008, 35.52174531418643], [46.41191724483389, 39.27013832023067]]",0.0,0.0,0.0,0.0,352.115629427915
88,A1,"[[24.829706582434255, 34.43830011223076], [21.28635856323433, 52.691911120230486], [0.9694537457261992, 51.42419396736033], [1.3417737231981808, 32.07268194432147], [24.829706582434255, 34.43830011223076]]",0.0,0.0,0.0,0.0,415.3783112563485
89,A1,"[[59.36643409347363, 96.99682137430966], [43.303256406433945, 108.76503176534948], [34.815505545634096, 100.79554483542967], [47.205364595562685, 85.72884895154391], [59.36643409347363, 96.99682137430966]]",0.0,0.0,0.0,0.0,275.3683241754189
90,A1,"[[45.45074005443388, 83.51062406486989], [34.54152312259407, 98.45711025494961], [20.883527121314273, 93.8185455752697], [24.319500958114247, 75.17838751063005], [45.45074005443388, 83.51062406486989]]",0.0,0.0,0.0,0.0,338.63057030988915
91,A1,"[[22.03797784003433, 74.16674760023011], [19.467230893548845, 93.0972605690281], [0.9674404798062112, 90.52496386175814], [1.5043113918061803, 72.80822376575915], [22.03797784003433, 74.16674760023011]]",0.0,0.0,0.0,0.0,360.6711149321237
92,A1,"[[115.53252672963276, 72.79333848407003], [97.06416735683308, 78.97809139030994], [88.0447360352332, 66.52268623191014], [102.56172549571295, 54.23907976535031], [115.53252672963276, 72.79333848407003]]",0.0,0.0,0.0,0.0,357.24702442907744
93,A1,"[[101.960430074273, 52.43519350103037], [86.15495042499327, 65.66369277271014], [74.75466255896362, 53.74646158323122], [85.81135304131323, 38.86309684567061], [101.960430074273, 52.43519350103037]]",0.0,0.0,0.0,0.0,364.79066517256615
94,A1,"[[83.99602937316519, 38.483472374243036], [73.81118606225857, 51.237779785571036], [60.84553018665213, 42.99667563818548], [67.66503326781094, 29.530583599840497], [83.99602937316519, 38.483472374243036]]",0.0,0.0,0.0,0.0,265.1356322459121
95,A1,"[[64.50263906814627, 28.481053974250983], [58.867322403233686, 42.49136379223063], [43.791640786966184, 35.43385776752939], [47.674697565428005, 20.89563462723089], [64.50263906814627, 28.481053974250983]]",0.0,0.0,0.0,0.0,262.5446170230888
96,A1,"[[45.833071507003595, 19.499970491650195], [41.794827401633995, 36.69315794263076], [25.259203312034288, 32.93506155863082], [26.72485316488377, 16.33753931611062], [45.833071507003595, 19.499970491650195]]",0.0,0.0,0.0,0.0,310.63014544843935
97,A1,"[[24.738141776838688, 15.242230408137857], [23.56074713360664, 32.073909211514206], [1.2730542464621848, 30.56085345612955], [1.0668958162541966, 16.335921771778366], [24.738141776838688, 15.242230408137857]]",0.0,0.0,0.0,0.0,356.9340410267305
98,A1,"[[41.524871510434025, 109.57839119702948], [29.491234803478676, 120.70104109209416], [20.532084929536722, 113.91622998992915], [28.27087087043418, 97.76991548758963], [41.524871510434025, 109.57839119702948]]",0.0,0.0,0.0,0.0,243.34098394266465
99,A1,"[[26.706100417536675, 97.27323171792926], [18.787254465536705, 112.43983498192915], [0.9674404798062112, 106.36265576575722], [1.2358759358061957, 92.40401205375802], [26.706100417536675, 97.27323171792926]]",0.0,0.0,0.0,0.0,337.6135775007218
100,A1,"[[135.94687165255743, 56.179005122252704], [113.66672880455747, 66.91642336225271], [105.3870066922168, 55.643990629881785], [122.52509885255745, 42.22036141025279], [135.94687165255743, 56.179005122252704]]",0.0,0.0,0.0,0.0,379.7238373298942
101,A1,"[[121.85401021255745, 40.475530946252775], [105.86709973363378, 53.07044042422149], [94.24517168775327, 42.264228405746394], [106.06741085302252, 27.81867789890734], [121.85401021255745, 40.475530946252775]]",0.0,0.0,0.0,0.0,348.4067690188704
102,A1,"[[104.90828804935751, 26.74788852705285], [92.02338616135756, 40.921280603852836], [76.74913679103878, 31.989034721588666], [86.64349992703876, 14.054090154292624], [104.90828804935751, 26.74788852705285]]",0.0,0.0,0.0,0.0,392.37702500962905
